PublicationYear,PublicationClone,PublicationTarget,PublicationCitation,PublicationPubmed
"0","","","",""
"2005","K64/15","SAP97","C BONNET - theses.hal.science","15770764"
"2005","","ANO3/TMEM16C","Goodman et al. Psychosomatic medicine","15673618"
"2005","L60/4","Copper ATPase 1 (Menke's disease protein)","C Li  -  search.proquest.com",""
"2005","K40/17","Pan-Kvbeta K+ channel","RC Feldman - UCLA JL & Tech. -  HeinOnline",""
"2006","K89/34","Kv2.1 K+ channel","Misonou et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17192433"
"2006","K57/1, K13/31, K20/78, K28/43, K36/15","Kv1.1 K+ channel, Kv4.2 K+ channel (external), Kv1.1 K+ channel (external), PSD-95, Kv1.4 K+ channel","Vacher et al. FASEB journal : official publication of the Federation of American Societies for Experimental Biology","17185748"
"2006","K74/71, L11A/41, K14/16","Nav1.1 Na+ channel, Kv1.2 K+ channel, Pan-Neurofascin","Van Wart et al. The Journal of comparative neurology","17111377"
"2006","","Navbeta2 Na+ channel, Thyroid hormone receptor beta1","Pott et al. American journal of physiology. Cell physiology","16943244"
"2006","K57/1","Kv4.2 K+ channel (external)","Rhodes et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","16885215"
"2006","K75/41","Kv4.3 K+ channel","Burkhalter et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17122053"
"2006","L51/82","MMP9","Lopez-Santiago et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","16870743"
"2006","K65/35, K87A/10","CASPR/Neurexin IV, Nav1.6","Rush et al. The European journal of neuroscience","16817858"
"2006","K55/7, K57/1, K60/73, K66/38, K75/41","KChIP1, Kv4.2, KChIP2, KChIP3, Kv4.3","Menegola et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","17122038"
"2006","K55/7, K75/41","Kv4.3 K+ channel, KChIP1 K+ channel","Kollo et al. The Journal of neuroscience : the official journal of the Society for Neuroscience","16525047"
"2006","review article","review article","Anderson et al. The Journal of physiology","16793899"
"2006","L6/60","Slo1/BKAlpha maxi-K+ channel","Tian et al. FASEB journal : official publication of the Federation of American Societies for Experimental Biology","17065230"
"2006","K28/43","PSD-95","Hanson et al. The Journal of physiology","17158177"
"2006","review article","review article","Anderson, C.N.G., et al. 2006. J Physiol. 575:367-72.","16793899"
"2006","K57/1, K75/41","Kv4.2, Kv4.3","Burkhalter, A., et al. 2006. J Neurosci. 26:12274-82.","17122053"
